"Abbreviation"	"Species"	"LowerRank"
"Bxyl"	"Bursaphelenchus xylophilus"	"Tylenchomorpha"
"Asuu"	"Ascaris suum"	"Ascaridomorpha"
"Wban"	"Wuchereria bancrofti"	"Spiruromorpha"
"Ppac"	"Pristionchus pacificus"	"Diplogasteromorpha"
"Ebre"	"Enoplus brevis"	"Enoplida"
"Rcul"	"Romanomermis culicivorax"	"Mermithida"
"Dviv"	"Dictyocaulus viviparus"	"Rhabditomorpha"
"Pred"	"Panagrellus redivivus"	"Panagrolaimomorpha"
"Cang"	"Caenorhabditis angaria"	"Rhabditomorpha"
"Cbre"	"Caenorhabditis brenneri"	"Rhabditomorpha"
"briC"	"Caenorhabditis briggsae"	"Rhabditomorpha"
"Cele"	"Caenorhabditis elegans"	"Rhabditomorpha"
"Cjap"	"Caenorhabditis japonica"	"Rhabditomorpha"
"Crem"	"Caenorhabditis remanei"	"Rhabditomorpha"
"C5sp"	"Caenorhabditis sp5"	"Rhabditomorpha"
"C11sp"	"Caenorhabditis sp11"	"Rhabditomorpha"
"Hbac"	"Heterorhabditis bacteriophora"	"Rhabditomorpha"
"Otip"	"Oscheius tipulae"	"Rhabditomorpha"
"Srat"	"Strongyloides ratti"	"Panagrolaimomorpha"
"Avit"	"Acanthocheilonema viteae"	"Spiruromorpha"
"Bmal"	"Brugia malayi"	"Spiruromorpha"
"Dimm"	"Dirofilaria immitis"	"Spiruromorpha"
"Lsig"	"Litomosoides sigmodontis"	"Spiruromorpha"
"Lloa"	"Loa loa"	"Spiruromorpha"
"Ooch"	"Onchocerca ochengi"	"Spiruromorpha"
"Ovol"	"Onchocerca volvulus"	"Spiruromorpha"
"Hcon"	"Haemonchus contortus"	"Rhabditomorpha"
"Tspi"	"Trichinella spiralis"	"Trichinellida"
"Tmur"	"Trichuris muris"	"Trichinellida"
"Gpal"	"Globodera pallida"	"Tylenchomorpha"
"Haor"	"Howardula aoronymphium"	"Tylenchomorpha"
"Mflo"	"Meloidogyne floridensis"	"Tylenchomorpha"
"Mhap"	"Meloidogyne hapla"	"Tylenchomorpha"
"Minc"	"Meloidogyne incognita"	"Tylenchomorpha"
"Hduj"	"Hypsibius dujardini"	"Tardigrada"
"Dpul"	"Daphnia pulex"	"Arthropoda"
"Agam"	"Anopheles gambiae"	"Arthropoda"
"Dsim"	"Drosophila simulans"	"Arthropoda"
"Nvi"	"Nasonia vitripennis"	"Arthropoda"
"Nve"	"Nematostella vectensis"	"Cnidaria"
"Acal"	"Aplysia californica"	"Mollusca"
"Lgi"	"Lottia gigantea"	"Mollusca"
"Acas"	"Acanthamoeba castellanii"	"Amoebozoa"
"Alyr"	"Arabidopsis lyrata"	"Plantae"
"Ath"	"Arabidopsis thaliana"	"Plantae"
"Vcar"	"Volvox carteri"	"Plantae"
"PAT"	"Pristionchus pacificus pat-like"	"Reference"
"BAS"	"RepBase_Crypton"	"Reference"
"BAS"	"RepBase_DIRS"	"Reference"
"RET"	"Retrobase DIRS"	"Reference"
