YR element hits in Nve
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     Nve:scaffold_101:98723                    DIRS              88723           109556           779731              20834    6.5150e-68    3.0946e-45    6.7270e-22
                     Nve:scaffold_47:525821             two_domains             515821           536654          1192782              20834    6.1833e-62             -    6.9562e-37
                     Nve:scaffold_47:404644                 YR_only             394644           415279          1192782              20636    9.3223e-23             -             -
                    Nve:scaffold_47:1123770                 YR_only            1113770          1133880          1192782              20111    8.6870e-05             -             -
                    Nve:scaffold_252:322303             two_domains             312303           333136           353439              20834    8.1853e-62             -    9.2355e-28
                    Nve:scaffold_252:265671                 YR_only             255671           276315           353439              20645    3.2382e-11             -             -
                    Nve:scaffold_252:281120                 YR_only             271120           291227           353439              20108    6.8140e-08             -             -
                     Nve:scaffold_255:72404             two_domains              62404            83249           344831              20846    1.0828e-59             -    4.6168e-34
                     Nve:scaffold_268:73463              dirs1-like              63463            84296           325201              20834    9.6351e-58    4.8131e-25    7.9623e-38
                     Nve:scaffold_55:103920                    DIRS              93920           114627          1132443              20708    4.5923e-57    6.9058e-08    3.0806e-26
                     Nve:scaffold_96:381721                    DIRS             371721           392551           814481              20831    2.5695e-55    6.1904e-28    3.8861e-08
                     Nve:scaffold_96:380645                    DIRS             370645           390887           814481              20243    1.2343e-22    6.7165e-28    3.9380e-08
                    Nve:scaffold_202:317202                    DIRS             307202           327981           433406              20780    8.6549e-55    1.2304e-07    3.6695e-31
                    Nve:scaffold_203:172469                    DIRS             162469           183302           430073              20834    2.1453e-54    6.1225e-43    1.6921e-38
                     Nve:scaffold_87:563014                    DIRS             553014           573676           842941              20663    3.1329e-54    3.6337e-39    9.3463e-35
                     Nve:scaffold_87:562838                    DIRS             552838           573017           842941              20180    3.1329e-54    3.3706e-39    1.1662e-34
                     Nve:scaffold_87:554232             two_domains             544232           564681           842941              20450    4.3995e-47             -    2.9456e-33
                     Nve:scaffold_87:554881        domains_inverted             544881           565060           842941              20180    4.3995e-47    2.2100e-12    2.8239e-33
                     Nve:scaffold_87:554753             two_domains             544753           564884           842941              20132    4.3995e-47             -    2.8472e-33
                     Nve:scaffold_45:212630              dirs1-like             202630           223343          1213267              20714    7.2060e-54    2.0283e-37    2.3258e-30
                     Nve:scaffold_441:37702                    DIRS              27702            48466           157224              20765    1.4987e-53    1.0935e-24    4.0084e-06
                     Nve:scaffold_441:39083                    DIRS              29083            49571           157224              20489    1.7203e-27    1.0036e-24    4.0048e-06
                     Nve:scaffold_441:38772                    DIRS              28772            49293           157224              20522    2.4312e-26    1.0264e-24    4.0053e-06
                      Nve:scaffold_29:27326                    DIRS              17326            38165          1506508              20840    2.5115e-53    4.7016e-51    4.6194e-34
                     Nve:scaffold_29:938289             two_domains             928289           949026          1506508              20738    1.2358e-23    3.0767e-07             -
                     Nve:scaffold_29:409504             two_domains             399504           419887          1506508              20384    4.1306e-12    2.3506e-33             -
                     Nve:scaffold_29:409887             two_domains             399887           419973          1506508              20087    4.1306e-12    2.2921e-33             -
                     Nve:scaffold_29:997043                 YR_only             987043          1007240          1506508              20198    3.4813e-03             -             -
                     Nve:scaffold_29:997284                 YR_only             987284          1007385          1506508              20102    3.4813e-03             -             -
                     Nve:scaffold_83:716856                    DIRS             706856           727161           859110              20306    9.8913e-53    2.5784e-44    1.1722e-15
                     Nve:scaffold_83:717169                    DIRS             707169           727654           859110              20486    9.8913e-53    2.7618e-44    1.1873e-15
                     Nve:scaffold_83:296806                    DIRS             286806           307153           859110              20348    3.8638e-22    2.0156e-30    1.6278e-38
                     Nve:scaffold_83:846466             two_domains             836466           857044           859110              20579    1.2142e-21    9.6070e-28             -
                     Nve:scaffold_83:296276                    DIRS             286276           306821           859110              20546    5.5749e-14    2.0143e-30    1.6991e-38
                     Nve:scaffold_83:219900                 YR_only             209900           230202           859110              20303    1.2974e-12             -             -
                     Nve:scaffold_579:84786                 YR_only              74786            85878            85878              11093    1.9831e-52             -             -
                    Nve:scaffold_106:164351             two_domains             154351           175130           719191              20780    1.0938e-50             -    1.3571e-11
                    Nve:scaffold_106:208800                    DIRS             198800           219345           719191              20546    9.6484e-50    2.1873e-06    1.8903e-23
                    Nve:scaffold_106:208516             two_domains             198516           218800           719191              20285    9.6484e-50             -    1.7784e-23
                    Nve:scaffold_106:229019             two_domains             219019           239681           719191              20663    3.1171e-34    3.3736e-36             -
                    Nve:scaffold_106:229677             two_domains             219677           239874           719191              20198    3.1171e-34    3.4272e-36             -
                    Nve:scaffold_163:445216             two_domains             435216           456046           532231              20831    2.8983e-49    4.8509e-06             -
                    Nve:scaffold_163:437057             two_domains             427057           447278           532231              20222    1.7403e-15    3.3460e-06             -
                    Nve:scaffold_163:437278             two_domains             427278           447595           532231              20318    1.7403e-15    3.5400e-06             -
                    Nve:scaffold_163:463217                 YR_only             453217           473438           532231              20222    1.4902e-09             -             -
                    Nve:scaffold_272:109938                    DIRS              99938           120447           312431              20510    8.1261e-49    1.1468e-37    6.7025e-28
                    Nve:scaffold_272:109618                    DIRS              99618           119905           312431              20288    8.1261e-49    1.1776e-37    6.8064e-28
                    Nve:scaffold_272:223259             two_domains             213259           233954           312431              20696    1.6438e-29    9.3310e-30             -
                      Nve:scaffold_191:6367                    DIRS                  1            17095           454807              17095    1.0424e-48    7.5013e-30    1.4148e-16
                      Nve:scaffold_191:1408                    DIRS                  1            11578           454807              11578    9.0186e-06    7.5478e-30    1.0267e-16
                     Nve:scaffold_319:47126              dirs1-like              37126            57914           260895              20789    1.2195e-48    7.2709e-03    2.0871e-35
                     Nve:scaffold_65:464845             two_domains             454845           475594          1027616              20750    1.4129e-48             -    1.4792e-37
                      Nve:scaffold_6:370838              dirs1-like             360838           381158          2383264              20321    2.3030e-48    9.0335e-31    2.6409e-37
                      Nve:scaffold_6:371245              dirs1-like             361245           381670          2383264              20426    2.3030e-48    9.5400e-31    2.7478e-37
                     Nve:scaffold_6:1369923                 YR_only            1359923          1380126          2383264              20204    9.1469e-08             -             -
                     Nve:scaffold_6:1371436                 YR_only            1361436          1381597          2383264              20162    7.7774e-03             -             -
                      Nve:scaffold_9:467136             two_domains             457136           477813          2113454              20678    4.2670e-47             -    1.1171e-35
                      Nve:scaffold_9:466990             two_domains             456990           477130          2113454              20141    4.2670e-47             -    1.1282e-35
                     Nve:scaffold_352:26158                    DIRS              16158            36949           214586              20792    7.5269e-47    1.2829e-21    2.2837e-29
                    Nve:scaffold_142:174360                    DIRS             164360           184968           538832              20609    1.6167e-46    3.3711e-34    1.3211e-34
                    Nve:scaffold_142:174128                    DIRS             164128           184379           538832              20252    1.6167e-46    3.4384e-34    1.3409e-34
                     Nve:scaffold_216:19735             two_domains               9735            30292           413736              20558    2.1434e-46             -    4.4559e-36
                     Nve:scaffold_216:20279             two_domains              10279            30572           413736              20294    2.1434e-46             -    4.2823e-36
                      Nve:scaffold_4:317396                    DIRS             307396           328235          2783716              20840    5.1541e-45    1.2276e-45    5.6266e-40
                     Nve:scaffold_4:2390209             two_domains            2380209          2400355          2783716              20147    1.7878e-13    3.9977e-33             -
                     Nve:scaffold_4:2390397             two_domains            2380397          2400771          2783716              20375    1.7878e-13    4.1301e-33             -
                      Nve:scaffold_4:855200                    DIRS             845200           865307          2783716              20108    2.6047e-03    3.4619e-20    2.1354e-06
                      Nve:scaffold_4:855402                    DIRS             845402           865530          2783716              20129    2.6047e-03    3.5015e-20    2.1415e-06
                     Nve:scaffold_278:65040                    DIRS              55040            75675           308203              20636    7.5641e-43    1.2648e-32    2.2571e-30
                     Nve:scaffold_278:64837                    DIRS              54837            74959           308203              20123    7.5641e-43    1.3214e-32    2.2999e-30
                     Nve:scaffold_278:64961                    DIRS              54961            75005           308203              20045    7.5641e-43    1.2847e-32    2.2760e-30
                     Nve:scaffold_2213:2213                    DIRS                  1            12857            14703              12857    7.8950e-43    5.9406e-48    4.7075e-32
                     Nve:scaffold_2213:2889                    DIRS                  1            13050            14703              13050    7.8950e-43    6.1330e-48    4.7626e-32
                     Nve:scaffold_27:500158             two_domains             490158           511012          1580678              20855    1.1955e-42    6.2087e-05             -
                    Nve:scaffold_27:1348426             two_domains            1338426          1359220          1580678              20795    1.8292e-28    6.6591e-23             -
                     Nve:scaffold_27:457328             two_domains             447328           467582          1580678              20255    2.3265e-13    5.7875e-35             -
                     Nve:scaffold_27:550756             two_domains             540756           561010          1580678              20255    1.3063e-12    3.6919e-34             -
                    Nve:scaffold_27:1484364                 YR_only            1474364          1494609          1580678              20246    7.8803e-11             -             -
                    Nve:scaffold_27:1403900                 YR_only            1393900          1414277          1580678              20378    3.6629e-09             -             -
                    Nve:scaffold_27:1405582                 YR_only            1395582          1415959          1580678              20378    3.8875e-07             -             -
                    Nve:scaffold_27:1351218             two_domains            1341218          1361319          1580678              20102    2.1157e-05    6.1124e-23             -
                    Nve:scaffold_27:1335566                 YR_only            1325566          1345661          1580678              20096    1.0924e-03             -             -
                    Nve:scaffold_1600:23392                 YR_only              13392            24018            24018              10627    3.9306e-42             -             -
                     Nve:scaffold_68:239664                    DIRS             229664           250494           985182              20831    1.8112e-41    7.0257e-10    1.5382e-35
                      Nve:scaffold_68:69887                    DIRS              59887            80648           985182              20762    6.9464e-22    7.6646e-27    7.9512e-25
                      Nve:scaffold_68:65748                    DIRS              55748            76410           985182              20663    5.9445e-15    7.4518e-27    5.5715e-25
                      Nve:scaffold_68:66447        domains_inverted              56447            76902           985182              20456    5.6153e-14    7.5077e-27    5.9823e-25
                      Nve:scaffold_68:50973             two_domains              40973            61143           985182              20171    1.1859e-08    5.3772e-14             -
                     Nve:scaffold_62:364802             two_domains             354802           375659          1036592              20858    4.4330e-41    1.9072e-26             -
                     Nve:scaffold_90:775468                    DIRS             765468           786157           829315              20690    6.0547e-41    5.2071e-37    1.1813e-05
                     Nve:scaffold_90:479465          viper_or_Ngaro             469465           490319           829315              20855    1.6729e-39    1.0918e-39             -
                     Nve:scaffold_90:589722                    DIRS             579722           600252           829315              20531    2.5301e-35    9.4545e-43    6.9113e-17
                     Nve:scaffold_90:661075             two_domains             651075           671836           829315              20762    2.1078e-25    1.1257e-05             -
                     Nve:scaffold_90:590194                    DIRS             580194           600553           829315              20360    6.1975e-19    9.5325e-43    6.9076e-17
                     Nve:scaffold_90:800446                 YR_only             790446           810742           829315              20297    1.6648e-15             -             -
                     Nve:scaffold_90:800840                 YR_only             790840           810986           829315              20147    1.6648e-15             -             -
                     Nve:scaffold_90:501161                 YR_only             491161           511661           829315              20501    4.2321e-14             -             -
                     Nve:scaffold_73:106087                 YR_only              96087           116941           943954              20855    7.7612e-41             -             -
                    Nve:scaffold_249:190401             two_domains             180401           201240           355889              20840    1.2244e-39    3.9473e-24             -
                     Nve:scaffold_249:67349                 YR_only              57349            77900           355889              20552    3.6171e-26             -             -
                     Nve:scaffold_249:11186             two_domains               1186            21488           355889              20303    2.6730e-04    9.3773e-30             -
                     Nve:scaffold_696:20747             two_domains              10747            31598            60210              20852    3.5328e-39    8.0856e-29             -
                     Nve:scaffold_78:337752          viper_or_Ngaro             327752           348594           925857              20843    5.5259e-39    2.3950e-23             -
                     Nve:scaffold_7949:3137                 YR_only                  1             4169             4169               4169    1.0648e-38             -             -
                     Nve:scaffold_2826:6532             two_domains                  1            12585            12585              12585    3.3889e-38    3.9846e-41             -
                     Nve:scaffold_2826:6212             two_domains                  1            12585            12585              12585    2.1518e-19    3.9846e-41             -
                      Nve:scaffold_72:84592             two_domains              74592            95431           922574              20840    4.5341e-38    5.7371e-19             -
                      Nve:scaffold_72:86125             two_domains              76125            96916           922574              20792    6.9455e-30    5.3899e-19             -
                     Nve:scaffold_72:639708             two_domains             629708           650103           922574              20396    8.0933e-20    4.8701e-13             -
                     Nve:scaffold_72:640139             two_domains             630139           650489           922574              20351    8.0933e-20    4.8477e-13             -
                     Nve:scaffold_89:661566             two_domains             651566           672192           855468              20627    6.0655e-38             -    3.8581e-42
                     Nve:scaffold_70:313357             two_domains             303357           324211           965299              20855    8.3426e-38    8.6720e-04             -
                     Nve:scaffold_70:527643             two_domains             517643           537819           965299              20177    2.7582e-32    1.2226e-29             -
                     Nve:scaffold_70:528166             two_domains             518166           538489           965299              20324    2.7582e-32    1.2769e-29             -
                     Nve:scaffold_70:527831             two_domains             517831           538154           965299              20324    2.7582e-32    1.2506e-29             -
                     Nve:scaffold_70:150745                 YR_only             140745           161254           965299              20510    2.4174e-11             -             -
                    Nve:scaffold_107:114222                    DIRS             104222           124692           708379              20471    3.2426e-37    3.7212e-03    1.6371e-34
                    Nve:scaffold_107:114037                    DIRS             104037           124228           708379              20192    3.2426e-37    3.6821e-03    1.2010e-34
                    Nve:scaffold_107:228718             two_domains             218718           239254           708379              20537    4.6518e-27    4.5437e-36             -
                    Nve:scaffold_107:199953                    DIRS             189953           210267           708379              20315    5.4925e-26    1.6323e-40    1.1275e-35
                    Nve:scaffold_107:199604                    DIRS             189604           209939           708379              20336    5.4925e-26    1.5720e-40    1.1021e-35
                    Nve:scaffold_107:235462             two_domains             225462           245671           708379              20210    1.0369e-14    6.1646e-36             -
                    Nve:scaffold_107:229202             two_domains             219202           239579           708379              20378    8.8300e-09    4.6698e-36             -
