YR element hits in Ebre
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     Ebre:contig_474676:203                 YR_only                  1             1102             1102               1102    5.5952e-55             -             -
                     Ebre:contig_82849:2312             two_domains                  1             3441             3441               3441    1.1308e-54             -    3.1200e-34
                      Ebre:contig_43445:469             two_domains                  1             1320             1320               1320    7.2065e-53             -    7.0554e-24
                     Ebre:contig_201445:402                    DIRS                  1             4161             4161               4161    8.7430e-53    2.5261e-48    2.9178e-36
                      Ebre:contig_36276:196                    DIRS                  1             2652             2652               2652    3.4397e-51    1.0503e-47    4.1000e-28
                      Ebre:contig_9433:1808                    DIRS                  1             6603             6603               6603    4.0026e-51    8.9594e-48    2.3374e-28
                    Ebre:contig_194102:1130             two_domains                  1             2263             2263               2263    3.5815e-49             -    8.2134e-33
                     Ebre:contig_133736:246                    DIRS                  1             4465             4465               4465    2.9551e-46    2.4980e-47    2.0162e-33
                      Ebre:contig_41841:284             two_domains                  1             2087             2087               2087    4.2532e-44             -    3.9170e-38
                     Ebre:contig_178795:240                 YR_only                  1              930              930                930    3.0658e-41             -             -
                       Ebre:contig_8775:223                 YR_only                  1             1122             1122               1122    5.6233e-41             -             -
                     Ebre:contig_169991:133                 YR_only                  1             1178             1178               1178    1.8537e-40             -             -
                      Ebre:contig_117632:87                 YR_only                  1             1066             1066               1066    5.1043e-40             -             -
                    Ebre:contig_206690:1047                 YR_only                  1             1939             1939               1939    1.3863e-39             -             -
                      Ebre:contig_88308:185                 YR_only                  1             1180             1180               1180    6.0760e-38             -             -
                      Ebre:contig_86424:257                 YR_only                  1              959              959                959    2.2767e-37             -             -
                      Ebre:contig_86424:132                 YR_only                  1              959              959                959    4.0523e-03             -             -
                       Ebre:contig_286423:5                 YR_only                  1             1017             1017               1017    5.3076e-37             -             -
                     Ebre:contig_125871:207                 YR_only                  1             1231             1231               1231    2.8753e-36             -             -
                       Ebre:contig_40103:28                 YR_only                  1             1044             1044               1044    3.2187e-36             -             -
                      Ebre:contig_23207:265                 YR_only                  1             1329             1329               1329    5.4696e-36             -             -
                     Ebre:contig_275891:210                 YR_only                  1             1057             1057               1057    9.1113e-36             -             -
                      Ebre:contig_354334:53                 YR_only                  1             1083             1083               1083    2.7249e-35             -             -
                      Ebre:contig_7153:5187                 YR_only                  1             6570             6570               6570    4.4816e-35             -             -
                       Ebre:contig_74654:39                 YR_only                  1              930              930                930    6.5210e-35             -             -
                     Ebre:contig_304311:412                 YR_only                  1              834              834                834    8.7809e-35             -             -
                      Ebre:contig_304311:59                 YR_only                  1              834              834                834    8.7809e-35             -             -
                       Ebre:contig_31449:82             two_domains                  1             2079             2079               2079    9.3354e-35             -    4.6717e-30
                      Ebre:contig_16785:173        domains_inverted                  1             4014             4014               4014    1.5383e-34    3.0124e-41    5.5014e-19
                     Ebre:contig_234527:202                 YR_only                  1             1121             1121               1121    1.6396e-34             -             -
                      Ebre:contig_43469:272                 YR_only                  1             1418             1418               1418    2.0716e-34             -             -
                      Ebre:contig_106302:64                    DIRS                  1             3264             3264               3264    5.8656e-34    3.3056e-15    2.3988e-32
                      Ebre:contig_76329:142                 YR_only                  1             1024             1024               1024    6.4858e-34             -             -
                       Ebre:contig_93276:41                 YR_only                  1             1040             1040               1040    2.6260e-33             -             -
                      Ebre:contig_74338:267                 YR_only                  1             1174             1174               1174    5.5486e-33             -             -
