YR element hits in BAS
======================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length      YR_evalue     RT_evalue     MT_evalue
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                         BAS:DIRS-1_XT:4170                    DIRS                  1             5553             5553               5553    7.6243e-109    2.5160e-62    1.2927e-52
                        BAS:DIRS-33_NV:2852             two_domains                  1             4146             4146               4146    1.1427e-106             -    2.4527e-45
                        BAS:DIRS-40_NV:4086                    DIRS                  1             5448             5448               5448    1.5265e-105    8.8885e-59    9.9639e-56
                        BAS:DIRS-3A_XT:4440                    DIRS                  1             5809             5809               5809    4.1438e-105    1.0651e-59    2.1288e-49
                         BAS:DIRS-3_XT:4481                    DIRS                  1             5868             5868               5868    1.3361e-104    1.1191e-59    9.2973e-51
                        BAS:DIRS-2A_XT:4825                    DIRS                  1             6224             6224               6224    1.7410e-104    4.4104e-58    5.0370e-53
                      BAS:DIRS-30_ACar:4411                    DIRS                  1             5781             5781               5781    2.1263e-104    9.5516e-55    5.9695e-50
                         BAS:DIRS-7_XT:4138                    DIRS                  1             5503             5503               5503    5.4573e-104    4.9770e-58    2.3610e-52
                        BAS:DIRS-32_NV:3892                    DIRS                  1             5187             5187               5187    1.7448e-103    3.1984e-59    2.9567e-49
                       BAS:DIRS-36A_XT:4215                    DIRS                  1             5595             5595               5595    5.4530e-103    3.0523e-58    6.0071e-51
                        BAS:DIRS-36_NV:4209                    DIRS                  1             5415             5415               5415    1.3012e-102    3.9455e-59    8.4500e-53
                        BAS:DIRS-45_NV:3864                    DIRS                  1             5054             5054               5054    1.3025e-102    3.1886e-58    3.8936e-50
                        BAS:DIRS-37_NV:4264                    DIRS                  1             5643             5643               5643    3.4901e-102    2.1159e-61    6.3789e-48
                      BAS:DIRS-28_ACar:4275                    DIRS                  1             5644             5644               5644    6.7452e-102    6.0275e-59    1.8143e-48
                       BAS:DIRS-13B_XT:4412                    DIRS                  1             5825             5825               5825    7.9565e-102    1.3952e-57    1.1413e-49
                      BAS:DIRS-14_ACar:4689              dirs1-like                  1             6046             6046               6046    9.9497e-102    1.2186e-54    3.2184e-49
                        BAS:DIRS-11_NV:4069                    DIRS                  1             5426             5426               5426    1.0399e-101    1.6874e-56    2.2276e-52
                        BAS:DIRS-4A_XT:4306                    DIRS                  1             5718             5718               5718    2.3370e-101    6.2678e-59    5.0737e-52
                       BAS:DIRS-25A_XT:3854                    DIRS                  1             5136             5136               5136    3.6031e-101    1.1698e-57    3.1748e-51
                       BAS:DIRS-13C_XT:4310                    DIRS                  1             5716             5716               5716    9.1527e-101    1.8914e-32    3.0844e-50
                        BAS:DIRS-42_NV:4348                    DIRS                  1             5710             5710               5710    1.2570e-100    6.0068e-47    3.3773e-51
                        BAS:DIRS-50_XT:4430                    DIRS                  1             5778             5778               5778    1.4857e-100    1.0406e-57    2.5337e-51
                         BAS:DIRS-6_XT:4297                    DIRS                  1             5814             5814               5814    1.6728e-100    2.3000e-59    5.3010e-52
                      BAS:DIRS-27_ACar:4745              dirs1-like                  1             6099             6099               6099    1.7392e-100    5.4738e-52    2.2205e-48
                        BAS:DIRS-35_NV:4404                    DIRS                  1             5900             5900               5900    2.9061e-100    2.0592e-37    2.2060e-49
                       BAS:DIRS-13A_XT:4237                    DIRS                  1             5629             5629               5629    3.9646e-100    1.5183e-58    4.0833e-50
                      BAS:DIRS-13_ACar:4564              dirs1-like                  1             5913             5913               5913    4.2806e-100    1.6200e-56    4.5762e-50
                         BAS:DIRS-4_XT:4186              dirs1-like                  1             5608             5608               5608    5.3147e-100    7.2354e-60    1.8408e-52
                       BAS:DIRS-21A_XT:4314                    DIRS                  1             5716             5716               5716    9.7348e-100    3.2493e-56    9.0314e-48
                       BAS:DIRS-22A_XT:4018                    DIRS                  1             5059             5059               5059     1.2718e-99    3.6070e-56    8.8088e-37
                         BAS:DIRS-5_XT:4277                    DIRS                  1             5682             5682               5682     1.7928e-99    4.3439e-57    5.3809e-53
                      BAS:DIRS-15_ACar:4605              dirs1-like                  1             5957             5957               5957     2.5768e-99    2.1651e-54    4.6580e-50
                      BAS:DIRS-19_ACar:4581              dirs1-like                  1             5924             5924               5924     3.3795e-99    8.3567e-56    2.9677e-52
                        BAS:DIRS-20_NV:3789              dirs1-like                  1             5075             5075               5075     3.6473e-99    3.0705e-53    1.9715e-49
                        BAS:DIRS-25_NV:4200                    DIRS                  1             5504             5504               5504     8.5843e-99    7.5639e-56    1.3644e-49
                      BAS:DIRS-12_ACar:4559              dirs1-like                  1             5909             5909               5909     8.9598e-99    4.1400e-55    1.0410e-51
                      BAS:DIRS-21_ACar:3693                    DIRS                  1             5083             5083               5083     1.0456e-98    4.8863e-56    5.7644e-51
                       BAS:DIRS-41A_XT:1641                    DIRS                  1             2952             2952               2952     1.6765e-98    5.0072e-60    5.4470e-51
                       BAS:DIRS-7_ACar:4437              dirs1-like                  1             5789             5789               5789     1.8401e-98    3.7370e-56    5.9908e-50
                      BAS:DIRS-18_ACar:4685              dirs1-like                  1             6031             6031               6031     4.8071e-98    6.6576e-56    5.1542e-47
                        BAS:DIRS-31_NV:4307                    DIRS                  1             5691             5691               5691     5.5540e-98    3.2520e-58    2.3014e-47
                       BAS:DIRS-1_ACal:4701              dirs1-like                  1             6060             6060               6060     1.0147e-97    4.7156e-55    1.3807e-46
                       BAS:DIRS-2_ACal:4769              dirs1-like                  1             6121             6121               6121     1.1862e-97    1.0345e-56    9.9445e-46
                        BAS:DIRS-4B_XT:4217                    DIRS                  1             5380             5380               5380     1.8565e-97    7.6399e-59    1.0689e-51
                        BAS:DIRS-13_NV:4379                    DIRS                  1             5777             5777               5777     1.9052e-97    4.9377e-57    3.1658e-50
                       BAS:DIRS-6_ACar:4606              dirs1-like                  1             5959             5959               5959     2.1952e-97    1.7479e-57    2.0696e-48
                      BAS:DIRS-10_ACar:4611              dirs1-like                  1             5961             5961               5961     2.1952e-97    5.4434e-53    1.0990e-48
                     BAS:DIRS-11B_ACar:4382              dirs1-like                  1             5731             5731               5731     3.3509e-97    4.4402e-53    5.3088e-49
                      BAS:DIRS-25_ACar:4712              dirs1-like                  1             6056             6056               6056     3.8613e-97    1.9445e-57    4.8500e-50
                       BAS:DIRS-9_ACar:4489              dirs1-like                  1             5841             5841               5841     6.3616e-97    2.9623e-57    2.6832e-48
                        BAS:DIRS-10_NV:3803                    DIRS                  1             5129             5129               5129     7.2139e-97    4.2462e-54    1.4912e-49
                      BAS:DIRS-11_ACar:4338              dirs1-like                  1             5686             5686               5686     1.1644e-96    2.2461e-53    1.3427e-48
                       BAS:DIRS-36B_XT:4206                    DIRS                  1             5562             5562               5562     6.4710e-96    7.6399e-59    1.1168e-50
                      BAS:DIRS-20_ACar:4320              dirs1-like                  1             5674             5674               5674     1.2335e-95    3.3205e-57    6.4705e-48
                        BAS:DIRS-8A_XT:4414                    DIRS                  1             5835             5835               5835     1.8642e-95    1.9520e-58    1.1130e-45
                      BAS:DIRS-29_ACar:4243                    DIRS                  1             5665             5665               5665     2.3807e-95    1.1208e-58    2.3118e-55
                        BAS:DIRS-9A_XT:4127                    DIRS                  1             5447             5447               5447     7.4417e-95    3.4811e-58    1.1975e-52
                      BAS:DIRS-17_ACar:4361              dirs1-like                  1             5712             5712               5712     2.0572e-94    1.7433e-54    2.1192e-46
                        BAS:DIRS-41_NV:3895              dirs1-like                  1             5212             5212               5212     2.1902e-94    1.2494e-58    9.1424e-47
                        BAS:DIRS-19_NV:4271                    DIRS                  1             5643             5643               5643     2.4052e-94    1.6129e-56    8.7427e-48
                        BAS:DIRS-18_NV:4267                    DIRS                  1             5685             5685               5685     3.7917e-94    3.0906e-57    6.4937e-48
                        BAS:DIRS-14_NV:4431                    DIRS                  1             5878             5878               5878     6.0936e-94    1.4053e-56    1.6861e-53
                        BAS:DIRS-49_XT:3853                    DIRS                  1             5152             5152               5152     7.2325e-94    4.8299e-56    3.2256e-51
                        BAS:DIRS-39_NV:4227              dirs1-like                  1             5484             5484               5484     8.8825e-94    3.9756e-55    3.8065e-50
