YR element hits in Vcar
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     Vcar:scaffold_32:83002             two_domains              73002            93904          1533676              20903    1.2833e-27             -    8.0611e-10
                   Vcar:scaffold_32:1415539             two_domains            1405539          1425871          1533676              20333    7.9655e-15    5.2288e-03             -
                   Vcar:scaffold_32:1415969             two_domains            1405969          1426367          1533676              20399    7.9655e-15    5.2204e-03             -
                   Vcar:scaffold_32:1416370             two_domains            1406370          1426429          1533676              20060    7.9655e-15    5.2121e-03             -
                    Vcar:scaffold_32:252119                    DIRS             242119           262937          1533676              20819    2.7557e-12    5.6459e-23    5.7027e-23
                   Vcar:scaffold_32:1530449             two_domains            1520449          1533676          1533676              13228    1.6288e-11             -    3.3328e-10
                   Vcar:scaffold_32:1530879             two_domains            1520879          1533676          1533676              12798    1.6288e-11             -    3.3076e-10
                    Vcar:scaffold_23:396497                     PAT             386497           407399          2092893              20903    2.3130e-27    2.2186e-15    5.4089e-09
                     Vcar:scaffold_23:70472                    DIRS              60472            81383          2092893              20912    1.9616e-17    7.4550e-34    8.5526e-32
                    Vcar:scaffold_23:148100                    DIRS             138100           158807          2092893              20708    4.8412e-14    7.7810e-35    6.3995e-30
                    Vcar:scaffold_23:257746                    DIRS             247746           268285          2092893              20540    1.1970e-11    5.8174e-37    9.8048e-36
                     Vcar:scaffold_23:17610                 YR_only               7610            27720          2092893              20111    2.8622e-03             -             -
                    Vcar:scaffold_81:156330                     PAT             146330           167175           248712              20846    2.9565e-27    3.9185e-33    3.3752e-32
                   Vcar:scaffold_22:1279522                 YR_only            1269522          1290424          2166658              20903    3.0939e-27             -             -
                   Vcar:scaffold_22:1302585                     PAT            1292585          1313472          2166658              20888    1.7235e-19    8.0792e-37    2.4279e-28
                    Vcar:scaffold_22:684531             two_domains             674531           694641          2166658              20111    6.0073e-08    7.6195e-22             -
                   Vcar:scaffold_22:1258017                    DIRS            1248017          1268172          2166658              20156    7.7780e-06    4.8694e-22    4.7219e-07
                   Vcar:scaffold_1:14145304                     PAT           14135304         14152940         14152940              17637    4.1681e-27    7.1527e-15    8.3649e-09
                   Vcar:scaffold_1:11900306                    DIRS           11890306         11911208         14152940              20903    5.5898e-27    1.0425e-15    1.4501e-09
                    Vcar:scaffold_1:9351125                 YR_only            9341125          9361970         14152940              20846    5.5898e-27             -             -
                    Vcar:scaffold_1:7335469                     PAT            7325469          7346356         14152940              20888    1.7289e-19    1.5031e-35    1.3563e-16
                   Vcar:scaffold_1:13483519                     PAT           13473519         13494406         14152940              20888    2.2878e-19    8.5836e-37    4.3158e-36
                    Vcar:scaffold_1:8954513                 YR_only            8944513          8965349         14152940              20837    1.4883e-17             -             -
                    Vcar:scaffold_1:9110041                    DIRS            9100041          9120952         14152940              20912    4.5058e-17    6.1423e-34    8.5526e-32
                    Vcar:scaffold_1:3941792                     PAT            3931792          3952580         14152940              20789    4.1454e-10    8.8158e-28    1.3388e-32
                    Vcar:scaffold_1:2772976             two_domains            2762976          2783086         14152940              20111    6.0156e-08    5.5277e-22             -
                     Vcar:scaffold_1:164554                 YR_only             154554           174664         14152940              20111    7.7880e-06             -             -
