YR element hits in Dpul
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     Dpul:scaffold_8920:135             two_domains                  1             1334             1334               1334    4.8291e-71             -    9.2252e-22
                    Dpul:scaffold_4888:2354             two_domains                  1             3905             3905               3905    1.2634e-67             -    8.5435e-37
                    Dpul:scaffold_1049:1095             two_domains                  1            11931            36118              11931    1.2687e-67             -    9.0976e-33
                    Dpul:scaffold_5334:2633                 YR_only                  1             3515             3515               3515    5.1684e-66             -             -
                   Dpul:scaffold_12:1595561              dirs1-like            1585561          1606397          2218424              20837    2.2418e-65    1.3289e-50    2.0754e-32
                   Dpul:scaffold_12:1938910                    DIRS            1928910          1949263          2218424              20354    1.5915e-52    5.1865e-39    3.9281e-28
                   Dpul:scaffold_12:1938422                    DIRS            1928422          1948880          2218424              20459    1.5915e-52    5.4743e-39    4.0278e-28
                   Dpul:scaffold_12:2176422        domains_inverted            2166422          2186895          2218424              20474    4.8302e-38    1.3147e-12    4.8803e-34
                   Dpul:scaffold_12:2176210             two_domains            2166210          2186416          2218424              20207    4.8302e-38             -    4.9520e-34
                     Dpul:scaffold_12:18810              dirs1-like               8810            29472          2218424              20663    1.0416e-35    7.1394e-39    2.3851e-33
                   Dpul:scaffold_12:1670991             two_domains            1660991          1681605          2218424              20615    6.0763e-32    5.4588e-20             -
                   Dpul:scaffold_12:1573835                    DIRS            1563835          1584275          2218424              20441    9.1818e-23    3.2431e-03    9.7261e-37
                     Dpul:scaffold_12:18634              dirs1-like               8634            28939          2218424              20306    1.1778e-16    7.1433e-39    2.3063e-33
                   Dpul:scaffold_12:1670858             two_domains            1660858          1681094          2218424              20237    1.4220e-10    5.3514e-20             -
                   Dpul:scaffold_12:1573002                    DIRS            1563002          1583295          2218424              20294    6.2315e-10    3.2442e-03    1.0395e-36
                     Dpul:scaffold_4694:830                 YR_only                  1             4144             4144               4144    2.7680e-65             -             -
                   Dpul:scaffold_32:1112302                    DIRS            1102302          1123141          1144766              20840    1.3975e-64    9.7271e-51    1.0462e-36
                     Dpul:scaffold_993:1765                    DIRS                  1            12604            13800              12604    2.0339e-64    1.2021e-48    1.2127e-39
                   Dpul:scaffold_127:359486              dirs1-like             349486           370319           398413              20834    4.5644e-64    2.6631e-48    9.1282e-36
                   Dpul:scaffold_127:157721                    DIRS             147721           168029           398413              20309    3.2295e-28    3.6362e-05    7.8197e-31
                   Dpul:scaffold_108:378187              dirs1-like             368187           389026           409705              20840    8.6078e-64    2.2698e-47    2.1306e-30
                   Dpul:scaffold_108:169861             two_domains             159861           180691           409705              20831    8.2108e-60             -    1.3234e-31
                   Dpul:scaffold_108:390640              dirs1-like             380640           401473           409705              20834    4.9745e-57    4.2504e-40    4.0159e-26
                    Dpul:scaffold_192:75766              dirs1-like              65766            86602           203047              20837    2.0453e-63    3.6366e-48    2.4541e-31
