YR element hits in Rcul
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Rcul:scaffold1905.1_size31984:19084                    DIRS               9084            29926            31984              20843    1.6305e-58    1.8066e-50    3.3000e-40
         Rcul:scaffold4343.1_size14939:5999             two_domains                  1            14939            14939              14939    8.5396e-52             -    8.8429e-16
        Rcul:scaffold1485.1_size34379:30627             two_domains              20627            34379            34379              13753    7.6909e-51    8.7009e-25             -
          Rcul:scaffold1829.1_size26363:971                    DIRS                  1            11804            26363              11804    7.7924e-48    2.2152e-44    2.1918e-37
        Rcul:scaffold1247.1_size32110:12449              dirs1-like               2449            23243            32110              20795    2.9680e-46    1.6390e-37    1.0093e-27
          Rcul:scaffold12576.1_size4282:748             two_domains                  1             4282             4282               4282    4.7469e-41             -    7.2610e-27
         Rcul:scaffold12576.1_size4282:1299             two_domains                  1             4282             4282               4282    4.7469e-41             -    7.2610e-27
         Rcul:scaffold1633.1_size29635:6832                 YR_only                  1            17668            29635              17668    3.3771e-40             -             -
         Rcul:scaffold345.1_size90048:43931                    DIRS              33931            54656            90048              20726    3.0026e-37    2.5781e-18    3.6845e-10
         Rcul:scaffold3294.1_size18387:6948                    DIRS                  1            17520            18387              17520    1.4147e-36    1.1068e-32    1.9381e-29
         Rcul:scaffold3294.1_size18387:7516                    DIRS                  1            17680            18387              17680    1.4147e-36    1.1207e-32    1.9377e-29
        Rcul:scaffold1152.1_size41061:34996             two_domains              24996            41061            41061              16066    1.4232e-36    1.3231e-08             -
        Rcul:scaffold1152.1_size41061:35625             two_domains              25625            41061            41061              15437    1.4232e-36    1.3231e-08             -
         Rcul:scaffold333.1_size58484:32103                 YR_only              22103            42921            58484              20819    5.4940e-36             -             -
         Rcul:scaffold198.1_size89731:47894             two_domains              37894            58484            89731              20591    6.1188e-36    3.3428e-40             -
         Rcul:scaffold5251.1_size12734:2533                    DIRS                  1            12734            12734              12734    2.5928e-35    1.3457e-36    3.2734e-29
         Rcul:scaffold5251.1_size12734:3204                    DIRS                  1            12734            12734              12734    2.5928e-35    1.3457e-36    3.2734e-29
          Rcul:scaffold5251.1_size12734:626                    DIRS                  1            11297            12734              11297    4.5099e-16    1.1051e-36    2.9641e-29
        Rcul:scaffold4006.1_size30204:22939                    DIRS              12939            30204            30204              17266    8.0104e-35    4.1636e-29    2.1532e-22
         Rcul:scaffold5091.1_size21085:3074                    DIRS                  1            13886            21085              13886    1.7187e-34    1.0963e-41    3.7242e-27
           Rcul:scaffold30402.1_size958:282             two_domains                  1              958              958                958    1.0153e-33             -    5.7529e-29
