YR element hits in Lgi
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          Lgi:sca_3936:2129                 YR_only                  1             3015             3015               3015    3.6490e-64             -             -
                          Lgi:sca_6:4824638                    DIRS            4814638          4835477          5155532              20840    9.9551e-63    6.8834e-27    2.5278e-30
                           Lgi:sca_6:622624                 YR_only             612624           633472          5155532              20849    6.0824e-32             -             -
                           Lgi:sca_6:952164                 YR_only             942164           962343          5155532              20180    2.5548e-03             -             -
                         Lgi:sca_27:1300077             two_domains            1290077          1310913          3043282              20837    2.5040e-62             -    6.6797e-37
                         Lgi:sca_27:1285143        domains_inverted            1275143          1295979          3043282              20837    1.5651e-61    3.3378e-06    9.1636e-28
                          Lgi:sca_27:851769             two_domains             841769           862557          3043282              20789    4.4859e-51    2.0983e-17             -
                          Lgi:sca_27:743880             two_domains             733880           754725          3043282              20846    9.2763e-40    4.4687e-14             -
                          Lgi:sca_27:870879                 YR_only             860879           881583          3043282              20705    8.2884e-19             -             -
                          Lgi:sca_27:122194             two_domains             112194           132649          3043282              20456    9.9886e-14    1.2169e-23             -
                          Lgi:sca_27:649365                 YR_only             639365           659799          3043282              20435    1.3177e-12             -             -
                          Lgi:sca_27:870739                 YR_only             860739           880951          3043282              20213    4.4058e-11             -             -
                          Lgi:sca_27:755500                 YR_only             745500           765736          3043282              20237    2.0493e-09             -             -
                          Lgi:sca_27:806770             two_domains             796770           817093          3043282              20324    4.9586e-09    1.2249e-29             -
                          Lgi:sca_27:675981                    DIRS             665981           686274          3043282              20294    7.5859e-08    2.5942e-30    4.6206e-09
                          Lgi:sca_27:676270                    DIRS             666270           686374          3043282              20105    7.5859e-08    2.6119e-30    4.6183e-09
                          Lgi:sca_27:122613             two_domains             112613           133044          3043282              20432    9.1145e-06    1.2398e-23             -
                         Lgi:sca_27:1446187                    DIRS            1436187          1456363          3043282              20177    8.7630e-05    1.7220e-15    6.7216e-08
                          Lgi:sca_27:178082                 YR_only             168082           188591          3043282              20510    2.0403e-04             -             -
                         Lgi:sca_27:1832289                 YR_only            1822289          1842771          3043282              20483    3.3843e-03             -             -
                         Lgi:sca_167:289007                    DIRS             279007           299837           354612              20831    5.9378e-60    2.2432e-32    4.4607e-31
                         Lgi:sca_167:286541                    DIRS             276541           297248           354612              20708    1.0608e-19    5.9564e-32    5.3855e-31
                         Lgi:sca_167:286488                    DIRS             276488           296553           354612              20066    1.0608e-19    6.0198e-32    5.3988e-31
                         Lgi:sca_167:283351                    DIRS             273351           293518           354612              20168    3.5673e-04    8.6683e-32    6.1312e-31
                         Lgi:sca_62:1755696              dirs1-like            1745696          1766532          1843775              20837    4.6783e-59    3.1527e-43    5.6103e-38
                         Lgi:sca_12:3469229              dirs1-like            3459229          3480047          4256419              20819    8.0608e-58    7.0167e-35    1.1817e-29
                         Lgi:sca_12:3458064                 YR_only            3448064          3468849          4256419              20786    4.4811e-28             -             -
                         Lgi:sca_12:2408748             two_domains            2398748          2419515          4256419              20768    5.9181e-11    2.1995e-06             -
                         Lgi:sca_12:3203459                 YR_only            3193459          3213788          4256419              20330    3.5045e-07             -             -
                         Lgi:sca_12:3203247                 YR_only            3193247          3213432          4256419              20186    3.5045e-07             -             -
                         Lgi:sca_12:3933704             two_domains            3923704          3943970          4256419              20267    1.6077e-05    6.4805e-15             -
                         Lgi:sca_12:3870189                 YR_only            3860189          3880503          4256419              20315    2.8323e-05             -             -
                         Lgi:sca_12:2412873                 YR_only            2402873          2423040          4256419              20168    3.7578e-05             -             -
